Izenak;Egoerak;Kaloreak;Koipeak;Proteinak;Karbohidratoak;Motak.
acederas;crudo;18;2.50;0.40;2.20;hortaliza
acederas;cocido;5;0.90;0.10;1.10;hortaliza
acelgas;crudo;18;1.90;0.30;2.40;hortaliza
achicoria;crudo;16;1.20;0.20;2.90;hortaliza
achicoria;tostada;280;28.10;2.00;42.00;hortaliza
ajo;bulbo;115;6.60;0.10;26.10;hortaliza
alcachofa;crudo;67;3.00;0.80;18.80;hortaliza
alcachofa;cocido;16;1.10;0.20;3.50;hortaliza
apio;crudo;19;1.20;0.20;4.50;hortaliza
apio;cocido;9.5;1.00;0.15;2.10;hortaliza
batata;crudo;127;2.10;0.60;29.50;hortaliza
batata;cocido;98;1.70;0.50;26.00;hortaliza
berenjena;crudo;19;1.20;0.20;4.90;hortaliza
berros;crudo;25;2.10;0.30;47.70;hortaliza
brocoli;crudo;29;3.20;0.20;4.90;hortaliza
brocoli;cocido;17;1.30;0.13;4.20;hortaliza
calabaza;crudo;28;0.70;0.10;6.30;hortaliza
calabaza;cocido;21;1.08;0.22;4.80;hortaliza
calabacin;crudo;23;4.20;0.10;7.30;hortaliza
cardo;crudo;24;2.30;0.30;5.30;hortaliza
cardo;cocido;17;1.40;0.20;3.60;hortaliza
cebolla;crudo;38;1.30;0.20;8.80;hortaliza
cebolla;cocido;20.2;0.40;0.20;4.30;hortaliza
Cebolla;frito;335;1.80;33.30;13.20;hortaliza
col;crudo;28;1.70;0.20;6.10;hortaliza
col;cocido;15;1.30;0.10;2.60;hortaliza
col;acida;23;1.40;0.30;4.10;hortaliza
coldebruselas;crudo;42;3.80;0.50;8.20;hortaliza
coldebruselas;cocido;20;3.10;0.40;5.10;hortaliza
colrizada;crudo;33;3.20;0.40;5.20;hortaliza
coliflor;crudo;28;2.30;0.20;5.04;hortaliza
coliflor;cocidocrudo;20;1.90;0.70;3;hortaliza
colinabo;crudo;33;2.20;0.10;6.8;hortaliza
champi�on;crudo;27;3.7;0.20;3.70;hortaliza
chirivia;crudo;5.8;1.50;0.50;13.50;hortaliza
chirivia;cocido;34;1.10;0.40;8.50;hortaliza
escarola;crudo;20;1.60;0.20;4.00;hortaliza
esparragos;crdudos;25;2.30;0.20;4.10;hortaliza
esparragos;cocido;20;2.10;0.20;3.80;hortaliza
espinacas;crudo;26;2.50;0.30;4.10;hortaliza
espinacas;cocido;20;2.20;0.20;5.20;hortaliza
judiasverdes;crudo;35;2.30;0.20;6.20;hortaliza
judiasverdes;cocido;15;1.00;0.10;3.20;hortaliza
lechuga;crudo;17;1.20;0.20;2.90;hortaliza
lombarda;crudo;35;2.60;0.15;5.20;hortaliza
mostaza;crudo;20;2.10;0.30;3.80;hortaliza
nabos;crudo;30;1.80;0.30;5.80;hortaliza
nabos;cocido;21;1.30;0.20;4.70;hortaliza
patata;crudo;85;2.10;0.20;19.00;hortaliza
patata;cocido;65;1.70;0.30;15.40;hortaliza
patata;asada;110;2.60;0.70;29.40;hortaliza
