Pikachu,Eléctrico,25,55,40,90
Charizard,Fuego/Volador,50,84,78,100
Bulbasaur,Planta/Veneno,20,49,49,45
Squirtle,Agua,22,48,65,43
Mewtwo,Psíquico,70,110,90,130
Eevee,Normal,94,20,67,108
Jigglypuff,Normal/Hada,28,45,20,20
Snorlax,Normal,35,110,65,30
Gengar,Fantasma/Veneno,45,65,60,110
Gyarados,Agua/Volador,42,125,79,81
Machop,Lucha,23,80,50,35
Geodude,Tierra/Roca,18,80,100,20
Machamp,Lucha,40,130,80,55
Onix,Roca/Tierra,35,45,160,70
Alakazam,Psíquico,48,50,45,120
Blastoise,Agua,52,83,100,78
Nidoking,Veneno/Tierra,47,102,77,85
Ninetales,Fuego,45,76,75,100
Golem,Roca/Tierra,50,120,130,45
Kangaskhan,Normal,38,95,80,90
